iter	Passed	Remaining
813	8918	2037
814	8929	2026
815	8939	2015
816	8950	2004
817	8962	1994
818	8971	1982
819	8981	1971
820	8994	1960
821	9006	1950
822	9019	1939
823	9028	1928
824	9040	1917
825	9052	1906
826	9063	1895
827	9075	1885
828	9083	1873
829	9092	1862
830	9101	1850
831	9109	1839
832	9117	1827
833	9126	1816
834	9134	1805
835	9144	1793
836	9153	1782
837	9162	1771
838	9170	1759
839	9179	1748
840	9188	1737
841	9197	1725
842	9205	1714
843	9214	1703
844	9223	1691
845	9231	1680
846	9240	1669
847	9249	1657
848	9257	1646
849	9266	1635
850	9274	1623
851	9283	1612
852	9292	1601
853	9300	1590
854	9311	1579
855	9320	1567
856	9328	1556
857	9337	1545
858	9345	1534
859	9356	1523
860	9364	1511
861	9375	1500
862	9383	1489
863	9392	1478
864	9400	1467
865	9409	1455
866	9418	1444
867	9426	1433
868	9436	1422
869	9444	1411
870	9453	1400
871	9461	1388
872	9470	1377
873	9478	1366
874	9487	1355
875	9495	1344
876	9504	1332
877	9512	1321
878	9521	1310
879	9529	1299
880	9538	1288
881	9546	1277
882	9555	1266
883	9564	1255
884	9572	1243
885	9581	1232
886	9590	1221
887	9598	1210
888	9607	1199
889	9616	1188
890	9624	1177
891	9633	1166
892	9641	1155
893	9650	1144
894	9659	1133
895	9667	1122
896	9675	1111
897	9685	1100
898	9693	1089
899	9702	1078
900	9710	1067
901	9719	1056
902	9727	1044
903	9736	1034
904	9745	1022
905	9754	1012
906	9762	1001
907	9771	990
908	9779	979
909	9788	968
910	9797	957
911	9805	946
912	9814	935
913	9823	924
914	9833	913
915	9841	902
916	9852	891
917	9860	880
918	9870	869
919	9879	859
920	9887	848
921	9896	837
922	9904	826
923	9913	815
924	9922	804
925	9931	793
926	9939	782
927	9948	771
928	9957	760
929	9966	750
930	9974	739
931	9983	728
932	9994	717
933	10007	707
934	10021	696
935	10035	686
936	10048	675
937	10060	665
938	10073	654
939	10086	643
940	10100	633
941	10111	622
942	10122	611
943	10135	601
944	10146	590
945	10159	579
946	10171	569
947	10185	558
948	10196	547
949	10205	537
950	10216	526
951	10226	515
952	10234	504
953	10243	493
954	10251	483
955	10260	472
956	10268	461
957	10277	450
958	10285	439
959	10298	429
960	10307	418
961	10316	407
962	10325	396
963	10333	385
964	10344	375
965	10353	364
966	10362	353
967	10381	343
968	10390	332
969	10398	321
970	10407	310
971	10415	300
972	10424	289
973	10432	278
974	10441	267
975	10450	256
976	10458	246
977	10467	235
978	10475	224
979	10484	213
980	10493	203
981	10501	192
982	10510	181
983	10518	171
984	10527	160
985	10535	149
986	10544	138
987	10553	128
988	10561	117
989	10570	106
990	10578	96
991	10587	85
992	10595	74
993	10604	64
994	10612	53
995	10621	42
996	10629	31
997	10639	21
998	10647	10
999	10656	0
