iter	RMSE
865	13926.83412
866	13911.26793
867	13906.28669
868	13887.64675
869	13864.2711
870	13847.12879
871	13830.78322
872	13829.60591
873	13827.60953
874	13815.0013
875	13801.55155
876	13800.65971
877	13779.15556
878	13756.06856
879	13755.32644
880	13743.03112
881	13722.58785
882	13705.66457
883	13694.51091
884	13693.6494
885	13683.53646
886	13667.38892
887	13647.90677
888	13642.46666
889	13641.79402
890	13629.81486
891	13603.6752
892	13601.8043
893	13592.95725
894	13590.75492
895	13589.95486
896	13582.48848
897	13569.06311
898	13563.1686
899	13551.11287
900	13542.15626
901	13532.51777
902	13520.02238
903	13505.07772
904	13500.72073
905	13486.91343
906	13470.62809
907	13463.79271
908	13457.89496
909	13442.00923
910	13421.48189
911	13402.69797
912	13389.98037
913	13379.15525
914	13369.32188
915	13355.1821
916	13346.43611
917	13331.56962
918	13313.96998
919	13299.65453
920	13292.38278
921	13274.47588
922	13270.80484
923	13269.08724
924	13248.52747
925	13247.82431
926	13244.19354
927	13238.88326
928	13229.24505
929	13212.14732
930	13201.79199
931	13186.73569
932	13180.28869
933	13165.5553
934	13157.5462
935	13137.52707
936	13123.99618
937	13117.32557
938	13105.3178
939	13094.55584
940	13081.14829
941	13060.79245
942	13047.14983
943	13032.93767
944	13010.97033
945	13003.17042
946	12985.29893
947	12965.74006
948	12964.94567
949	12952.06131
950	12933.8489
951	12925.63797
952	12916.24628
953	12908.13768
954	12899.46423
955	12885.6767
956	12877.55136
957	12869.64694
958	12867.3473
959	12854.74484
960	12835.2966
961	12818.76406
962	12809.37459
963	12792.73504
964	12783.09124
965	12780.71676
966	12770.0311
967	12768.59886
968	12763.67758
969	12754.16876
970	12739.1711
971	12722.6932
972	12721.0251
973	12719.53019
974	12708.81424
975	12687.66883
976	12681.95101
977	12671.08572
978	12665.40107
979	12652.48615
980	12647.24582
981	12628.69791
982	12614.09435
983	12600.25705
984	12594.27449
985	12593.53982
986	12585.8972
987	12568.11935
988	12558.63118
989	12547.01103
990	12532.93649
991	12522.58919
992	12511.82129
993	12496.62936
994	12495.91487
995	12481.77471
996	12471.53227
997	12449.48177
998	12437.05335
999	12424.0883
